Date,Confirmed
12/14/2020,492332
12/15/2020,494209
12/16/2020,495841
12/17/2020,496975
12/18/2020,498293
12/19/2020,499560
12/20/2020,500713
12/21/2020,502183
12/22/2020,503501
12/23/2020,504868
12/24/2020,506102
12/25/2020,507265
12/26/2020,508099
12/27/2020,509148
12/28/2020,510080
12/29/2020,511261
12/30/2020,512496
12/31/2020,513510
1/1/2021,514500
1/2/2021,515184
1/3/2021,516019
1/4/2021,516929
1/5/2021,517920
1/6/2021,518898
1/7/2021,519905
1/8/2021,520690
1/9/2021,521382
1/10/2021,522453
1/11/2021,523302
1/12/2021,524020
1/13/2021,524910
1/14/2021,525723
1/15/2021,526485
1/16/2021,527063
1/17/2021,527632
1/18/2021,528329
1/19/2021,529031
1/20/2021,529687
1/21/2021,530271
1/22/2021,530890
1/23/2021,531326
1/24/2021,531799
1/25/2021,532401
1/26/2021,532916
1/27/2021,533444
1/28/2021,533953
1/29/2021,534407
1/30/2021,534770
1/31/2021,535139
2/1/2021,535582
2/2/2021,536107
2/3/2021,536545
2/4/2021,537030
2/5/2021,537465
2/6/2021,537770
2/7/2021,538062
2/8/2021,538378
2/9/2021,538765
2/10/2021,539153
2/11/2021,539531
2/12/2021,539975
2/13/2021,540266
2/14/2021,540592
2/15/2021,541038
2/16/2021,541434
2/17/2021,541877
2/18/2021,542268
2/19/2021,542674
2/20/2021,543024
2/21/2021,543351
2/22/2021,543717
2/23/2021,544116
2/24/2021,544544
2/25/2021,544954
2/26/2021,545424
2/27/2021,545831
2/28/2021,546216
3/1/2021,546801
3/2/2021,547316
3/3/2021,547930
3/4/2021,548549
3/5/2021,549184
3/6/2021,549724
3/7/2021,550330
3/8/2021,551175
3/9/2021,552087
3/10/2021,553105
3/11/2021,554156
3/12/2021,555222
3/13/2021,556236
3/14/2021,557395
3/15/2021,559168
3/16/2021,560887
3/17/2021,562752
3/18/2021,564939
3/19/2021,566838
3/20/2021,568706
3/21/2021,570878
3/22/2021,573687
3/23/2021,577241
3/24/2021,580808
3/25/2021,584395
3/26/2021,588132
3/27/2021,591806
3/28/2021,595714
3/29/2021,600895
3/30/2021,605937
3/31/2021,611295
4/1/2021,617764
4/2/2021,624594
4/3/2021,630277
4/4/2021,637364
4/5/2021,644439
4/6/2021,651652
4/7/2021,659278
4/8/2021,666132
4/9/2021,673594
4/10/2021,678937
4/11/2021,684756
4/12/2021,691957
4/13/2021,697985
4/14/2021,703170
4/15/2021,707362
4/16/2021,711779
4/17/2021,715252
4/18/2021,718950
4/19/2021,723221
4/20/2021,727780
4/21/2021,732060
4/22/2021,736074
4/23/2021,739703
4/24/2021,742400
4/25/2021,745322
4/26/2021,748628
4/27/2021,751659
4/28/2021,754614
4/29/2021,756955
4/30/2021,759132
5/1/2021,760584
5/2/2021,761943
5/3/2021,763682
